January 	1 	In 1959, Fidel Castro led Cuban revolutionaries to victory over Fulgencio Batista.
January 	2 	In 1905, Japanese Gen. Nogi received from Russian Gen. Stoessel at 9 o’clock P.M. a letter formally offering to surrender, ending the Russo-Japanese War.
January 	3 	In 1959, President Eisenhower signed a proclamation admitting Alaska to the Union as the 49th state.
January 	4 	In 1965, President Johnson outlined the goals of his “Great Society” in his State of the Union address.
January 	5 	In 1914, Henry Ford, head of the Ford Motor Company, introduced a minimum wage scale of $5 per day.
January 	6 	In 1919, the 26th president of the United States, Theodore Roosevelt, died in Oyster Bay, N.Y., at age 60.
January 	7 	In 1979, Vietnamese forces captured the Cambodian capital of Phnom Penh, overthrowing the Khmer Rouge government.
January 	8 	In 1918, President Woodrow Wilson outlined his 14 points for peace after World War I.
January 	9 	In 2007, Steven P. Jobs introduced Apple’s long-awaited entry into the cellphone world, the iPhone.
January 	10 	In 1946, the first General Assembly of the United Nations convened in London.
January 	11 	In 1964, the United States surgeon general reported that cigarettes cause lung cancer.
January 	12 	In 2010, a catastrophic earthquake struck Haiti, killing over 200,000 people and destroying much of the capital, Port-au-Prince.
January 	13 	In 1990, Douglas Wilder of Virginia became the nation’s first elected black governor as he took the oath of office in Richmond.
January 	14 	In 1943, President Roosevelt and British Prime Minister Winston Churchill opened a wartime conference in Casablanca.
January 	15 	In 1967, the first Super Bowl was played as the Green Bay Packers of the National Football League defeated the Kansas City Chiefs of the American Football League, 35-10.
January 	16 	In 1991, the White House announced the start of Operation Desert Storm to drive Iraqi forces out of Kuwait.
January 	17 	In 1893, Hawaii’s monarchy was overthrown as a group of businessmen and sugar planters forced Queen Liliuokalani to abdicate.
January 	18 	In 1912, English explorer Robert F. Scott and his expedition reached the South Pole, only to discover that Roald Amundsen had gotten there first.
January 	19 	In 1937, millionaire Howard Hughes set a transcontinental air record by flying his monoplane from Los Angeles to Newark, N.J., in 7 hours, 28 minutes and 25 seconds.
January 	20 	In 1981, Iran released 52 Americans held hostage for 444 days, minutes after the presidency had passed from Jimmy Carter to Ronald Reagan.
January 	21 	In 1924, the Russian revolutionary Vladimir Ilyich Lenin died at age 53.
January 	22 	In 1973, in its Roe vs. Wade decision, the Supreme Court legalized abortions, using a trimester approach.
January 	23 	In 1973, President Nixon announced an accord had been reached to end the Vietnam War.
January 	24 	In 1965, Winston Churchill died in London at age 90.
January 	25 	In 1915, the inventor of the telephone, Alexander Graham Bell, inaugurated U.S. transcontinental telephone service.
January 	26 	In 1950, India officially proclaimed itself a republic as Rajendra Prasad took the oath of office as president.
January 	27 	In 1967, astronauts Virgil I. “Gus” Grissom, Edward H. White and Roger B. Chaffee died in a flash fire during a test aboard their Apollo spacecraft at Cape Kennedy, Fla.
January 	28 	In 1986, the space shuttle Challenger exploded 73 seconds after liftoff from Cape Canaveral, killing all seven crew members: flight commander Francis R. “Dick” Scobee; pilot Michael J. Smith; Ronald E. McNair; Ellison S. Onizuka; Judith A. Resnik; Gregory B. Jarvis; and schoolteacher Christa McAuliffe.
January 	29 	In 1963, poet Robert Frost died in Boston.
January 	30 	In 1948, Indian political and spiritual leader Mahatma Gandhi was murdered by a Hindu extremist.
January 	31 	In 1865, the House of Representatives passed a constitutional amendment to abolish slavery.
February
February 	1 	In 1960, four black college students began a sit-in protest at a lunch counter in Greensboro, N.C., where they’d been refused service.
February 	2 	In 1943, the remainder of Nazi forces from the Battle of Stalingrad surrendered in a major victory for the Soviets in World War II.
February 	3 	In 1917, the United States broke off diplomatic relations with Germany, which had announced a policy of unrestricted submarine warfare.
February 	4 	In 1974, newspaper heiress Patricia Hearst was kidnapped in Berkeley, Calif., by the Symbionese Liberation Army.
February 	5 	In 1937, President Roosevelt proposed increasing the number of Supreme Court justices; critics charged Roosevelt was attempting to “pack” the court.
February 	6 	In 1952, Britain’s King George VI died; he was succeeded by his daughter, Elizabeth II.
February 	7 	In 1964, the Beatles arrived in the United States for the first time, giving rise to Beatlemania.
February 	8 	In 1996, in a ceremony at the Library of Congress, President Clinton signed legislation revamping the telecommunications industry, saying it would “bring the future to our doorstep.”
February 	9 	In 1943, the World War II battle of Guadalcanal in the southwest Pacific ended with an American victory over Japanese forces.
February 	10 	In 1962, the Soviet Union exchanged captured American U-2 pilot Francis Gary Powers for Rudolph Ivanovich Abel, a Soviet spy held by the United States.
February 	11 	In 1945, President Roosevelt, British Prime Minister Winston Churchill and Soviet leader Josef Stalin signed the Yalta Agreement during World War II.
February 	12 	In 1999, the Senate acquitted President Bill Clinton on two articles of impeachment, falling short of a majority vote on either of the charges against him: perjury and obstruction of justice.
February 	13 	In 1935, a jury in Flemington, N.J., found Bruno Richard Hauptmann guilty of first-degree murder in the kidnap-death of the infant son of Charles and Anne Lindbergh. Hauptmann was later executed.
February 	14 	In 1929, the St. Valentine’s Day Massacre took place in a Chicago garage as seven rivals of Al Capone’s gang were gunned down.
February 	15 	In 1898, the U.S. battleship Maine blew up in Havana Harbor, killing 260 crew members and escalating tensions with Spain.
February 	16 	In 1923, the burial chamber of King Tutankhamen’s recently unearthed tomb was unsealed in Egypt.
February 	17 	In 1972, President Nixon departed on his historic trip to China.
February 	18 	In 1861, Jefferson Davis was sworn in as president of the Confederate States of America in Montgomery, Ala.
February 	19 	In 1945, during World War II, some 30,000 United States Marines landed on the Western Pacific island of Iwo Jima, where they encountered ferocious resistance from Japanese forces. The Americans took control of the strategically important island after a month-long battle.
February 	20 	In 1962, astronaut John Glenn became the first American to orbit Earth as he flew aboard the Friendship 7 Mercury capsule.
February 	21 	In 1965, former Black Muslim leader Malcolm X was shot and killed by assassins identified as Black Muslims as he was about to address a rally in New York City; he was 39.
February 	22 	In 1980, in a stunning upset, the United States Olympic hockey team defeated the Soviets at Lake Placid, N.Y., 4-to-3. (The U.S. team went on to win the gold medal.)
February 	23 	In 1954, the first mass inoculation of children against polio with the Salk vaccine began in Pittsburgh.
February 	24 	In 1868, the United States House of Representatives impeached President Johnson following his attempted dismissal of Secretary of War Edwin M. Stanton; Johnson was later acquitted by the Senate.
February 	25 	In 1870, Hiram R. Revels, R-Miss., became the first black member of the United States Senate as he was sworn in to serve out the unexpired term of Jefferson Davis.
February 	26 	In 1993, a bomb exploded in the garage of New York’s World Trade Center, killing six people and injuring more than 1,000 others.
February 	27 	In 1991, President Bush declared that “Kuwait is liberated, Iraq’s army is defeated,” and announced that the allies would suspend combat operations at midnight.
February 	28 	In 1993, a gun battle erupted near Waco, Texas, when Bureau of Alcohol, Tobacco and Firearms agents tried to serve warrants on the Branch Davidians; four agents and six Davidians were killed as a 51-day standoff began.
February 	29 	In 1968, President Johnson’s National Advisory Commission on Civil Disorders (also known as the Kerner Commission) warned that racism was causing America to move “toward two societies, one black, one white — separate and unequal.”
March
March 	1 	In 1961, President John F. Kennedy issued an executive order creating the Peace Corps, enlisting men and women for voluntary, unpaid service in developing countries around the world.
March 	2 	In 1877, Republican Rutherford B. Hayes was declared the winner of the 1876 presidential election over Democrat Samuel J. Tilden, even though Tilden had won the popular vote.
March 	3 	In 1991, in a case that sparked a national outcry, motorist Rodney King was severely beaten by Los Angeles police officers in a scene captured on amateur video.
March 	4 	In 1933, the start of President Roosevelt’s first administration brought with it the first woman to serve in the Cabinet: Labor Secretary Frances Perkins.
March 	5 	In 1946, Winston Churchill delivered his famous “Iron Curtain” speech at Westminster College in Fulton, Mo.
