original_query_id,query_text,expected_answer,benchmark_type,source_file,temporal_strategy,pushdown_strategy,stitch_strategy,cache_mode,avg_time_ms,individual_run_times_ms,verification_status,stderr_output,stdout_output
q1,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1988) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",reagan,1HOP,1hop.txt,naive,none,none,cold,13.722666666666667,14.313;13.656;13.199,PASSED,,
q1,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1988) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",reagan,1HOP,1hop.txt,naive,none,optimized,cold,4.064,5.628;3.474;3.090,PASSED,,
q1,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1988) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",reagan,1HOP,1hop.txt,nash,none,none,cold,14.659333333333334,16.160;14.409;13.409,PASSED,,
q1,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1988) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",reagan,1HOP,1hop.txt,nash,none,optimized,cold,3.2846666666666664,4.298;3.226;2.330,PASSED,,
q2,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1987) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",reagan,1HOP,1hop.txt,naive,none,none,cold,20.171000000000003,19.575;23.216;17.722,PASSED,,
q2,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1987) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",reagan,1HOP,1hop.txt,naive,none,optimized,cold,4.608666666666667,4.483;5.772;3.571,PASSED,,
q2,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1987) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",reagan,1HOP,1hop.txt,nash,none,none,cold,17.044666666666668,18.241;17.236;15.657,PASSED,,
q2,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1987) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",reagan,1HOP,1hop.txt,nash,none,optimized,cold,5.5136666666666665,10.129;2.993;3.419,PASSED,,
q3,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1989) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,6.172000000000001,6.613;6.035;5.868,FAILED,,
q3,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1989) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,5.988333333333333,14.123;2.173;1.669,FAILED,,
q3,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1989) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,8.837333333333333,13.707;6.723;6.082,FAILED,,
q3,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1989) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,2.6276666666666664,2.013;3.413;2.457,FAILED,,
q4,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1990) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,7.181,6.431;8.513;6.599,FAILED,,
q4,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1990) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,2.3859999999999997,3.020;2.379;1.759,FAILED,,
q4,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1990) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,6.155666666666666,6.050;5.812;6.605,FAILED,,
q4,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1990) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,2.605,3.777;1.997;2.041,FAILED,,
q5,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1991) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,6.832333333333334,11.298;4.600;4.599,FAILED,,
q5,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1991) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,2.158666666666667,2.233;2.494;1.749,FAILED,,
q5,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1991) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,8.542666666666667,13.104;6.631;5.893,FAILED,,
q5,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1991) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,2.5493333333333332,3.098;2.482;2.068,FAILED,,
q6,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1992) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,18.197,25.247;16.232;13.112,FAILED,,
q6,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1992) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,2.9343333333333335,2.755;2.984;3.064,FAILED,,
q6,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1992) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,14.181333333333333,14.379;14.787;13.378,FAILED,,
q6,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1992) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,2.718,3.339;2.377;2.438,FAILED,,
q7,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1993) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,none,cold,5.0553333333333335,5.725;5.013;4.428,FAILED,,
q7,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1993) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,optimized,cold,2.1886666666666668,2.381;1.892;2.293,FAILED,,
q7,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1993) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,none,cold,5.809666666666668,4.666;6.628;6.135,FAILED,,
q7,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1993) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,optimized,cold,2.232,2.660;2.458;1.578,FAILED,,
q8,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1994) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,none,cold,5.816666666666666,6.020;5.939;5.491,FAILED,,
q8,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1994) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,optimized,cold,1.7596666666666667,1.518;1.982;1.779,FAILED,,
q8,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1994) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,none,cold,5.8870000000000005,5.853;6.183;5.625,FAILED,,
q8,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1994) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,optimized,cold,2.733,4.004;2.178;2.017,FAILED,,
q9,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1995) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,none,cold,5.978000000000001,7.996;4.899;5.039,FAILED,,
q9,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1995) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,optimized,cold,1.758,1.581;1.433;2.260,FAILED,,
q9,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1995) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,none,cold,6.6819999999999995,10.886;4.759;4.401,FAILED,,
q9,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1995) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,optimized,cold,2.268333333333333,3.046;2.591;1.168,FAILED,,
q10,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1996) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,none,cold,4.9446666666666665,4.511;5.500;4.823,FAILED,,
q10,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1996) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,optimized,cold,2.344333333333333,2.880;2.593;1.560,FAILED,,
q10,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1996) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,none,cold,5.968666666666667,7.124;5.034;5.748,FAILED,,
q10,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1996) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,optimized,cold,2.2116666666666664,2.614;1.693;2.328,FAILED,,
q11,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1997) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,none,cold,5.812333333333334,7.249;5.905;4.283,FAILED,,
q11,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1997) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,optimized,cold,2.1423333333333336,2.490;2.190;1.747,FAILED,,
q11,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1997) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,none,cold,6.285333333333334,8.726;5.289;4.841,FAILED,,
q11,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1997) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,optimized,cold,2.094333333333333,2.374;2.142;1.767,FAILED,,
q12,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1998) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,none,cold,5.499,6.437;3.748;6.312,FAILED,,
q12,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1998) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,optimized,cold,2.638333333333333,2.070;3.832;2.013,FAILED,,
q12,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1998) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,none,cold,9.664333333333333,17.683;6.909;4.401,FAILED,,
q12,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1998) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,optimized,cold,2.294,2.313;3.177;1.392,FAILED,,
q13,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1999) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,none,cold,6.371666666666666,6.962;5.853;6.300,FAILED,,
q13,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1999) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,optimized,cold,1.795,2.030;1.779;1.576,FAILED,,
q13,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1999) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,none,cold,6.891666666666667,8.143;6.244;6.288,FAILED,,
q13,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 1999) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,optimized,cold,2.0573333333333332,2.658;2.053;1.461,FAILED,,
q14,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2000) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,none,cold,8.335333333333333,14.545;4.852;5.609,FAILED,,
q14,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2000) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,naive,none,optimized,cold,2.302,3.476;2.213;1.217,FAILED,,
q14,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2000) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,none,cold,6.798333333333333,11.393;4.271;4.731,FAILED,,
q14,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2000) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",clinton,1HOP,1hop.txt,nash,none,optimized,cold,2.67,4.342;1.530;2.138,FAILED,,
q15,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2001) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,5.265666666666667,4.416;6.209;5.172,FAILED,,
q15,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2001) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,3.0559999999999996,6.040;1.744;1.384,FAILED,,
q15,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2001) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,7.856000000000001,8.493;5.746;9.329,FAILED,,
q15,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2001) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,1.890666666666667,2.833;1.282;1.557,FAILED,,
q16,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2002) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,7.425333333333334,6.204;8.654;7.418,FAILED,,
q16,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2002) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,2.603333333333333,3.819;1.764;2.227,FAILED,,
q16,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2002) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,5.858666666666667,6.706;5.037;5.833,FAILED,,
q16,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2002) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,3.235333333333333,4.977;2.555;2.174,FAILED,,
q17,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2003) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,5.458000000000001,6.033;5.388;4.953,FAILED,,
q17,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2003) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,2.4596666666666667,1.603;3.918;1.858,FAILED,,
q17,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2003) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,14.154000000000002,29.414;7.604;5.444,FAILED,,
q17,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2003) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,2.496,3.439;1.792;2.257,FAILED,,
q18,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2004) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,4.760666666666666,6.434;4.107;3.741,FAILED,,
q18,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2004) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,1.9646666666666668,2.826;1.326;1.742,FAILED,,
q18,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2004) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,6.778666666666666,8.391;7.018;4.927,FAILED,,
q18,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2004) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,2.831666666666667,4.647;2.471;1.377,FAILED,,
q19,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2005) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,6.1000000000000005,6.790;5.700;5.810,FAILED,,
q19,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2005) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,optimized,cold,2.5189999999999997,3.892;1.761;1.904,FAILED,,
q19,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2005) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,none,cold,7.131666666666667,9.415;5.810;6.170,FAILED,,
q19,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2005) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,nash,none,optimized,cold,1.7113333333333334,2.437;1.474;1.223,FAILED,,
q20,"SELECT p, COUNT(*) FROM articles WHERE CONTAINS('president') AND CONTAINS('United States') AND DATE(= 2006) AND NER(PERSON) BIND p GROUP BY p GRANULARITY SENTENCE ORDER BY COUNT(*) DESC",bush,1HOP,1hop.txt,naive,none,none,cold,5.796666666666667,8.482;5.124;3.784,FAILED,,
